SamplingNumber, 1769, SamplingFrequency(m), 4, CarID, P, MeasurementDate, 15-Apr-2022 13:05:01
Image_Name , latitude, longitude, horizontalAccuracy, GPStimeStamp
P00000, 34.38110874075736, 108.90049346075332, 4.747627370092865, 2022/04/15 13:05:01
P00001, 34.38109418755105, 108.9004538543765, 4.746366729726441, 2022/04/15 13:05:01
P00002, 34.38107949974349, 108.90041323873416, 4.746366729726441, 2022/04/15 13:05:02
P00003, 34.38106537031127, 108.90037284953736, 4.746366729726441, 2022/04/15 13:05:03
P00004, 34.38105184320224, 108.90033360854919, 4.746366729726441, 2022/04/15 13:05:04
P00005, 34.38103713104317, 108.90029484411207, 4.746366729726441, 2022/04/15 13:05:04
P00006, 34.38102276115444, 108.900255127941, 4.746366729726441, 2022/04/15 13:05:05
P00007, 34.38100850593192, 108.90021419962389, 4.746366729726441, 2022/04/15 13:05:06
P00008, 34.38099458808183, 108.90017486845962, 4.746366729726441, 2022/04/15 13:05:06
P00009, 34.380980407639086, 108.90013478635498, 4.746366729726441, 2022/04/15 13:05:07
P00010, 34.380966046691334, 108.90009415868673, 4.746366729726441, 2022/04/15 13:05:07
P00011, 34.380951352201045, 108.9000528023812, 4.746366729726441, 2022/04/15 13:05:08
P00012, 34.38093639211797, 108.90001148291688, 4.746366729726441, 2022/04/15 13:05:08
P00013, 34.38092250061226, 108.89997311484288, 4.746366729726441, 2022/04/15 13:05:09
P00014, 34.38090875261075, 108.89993378828117, 4.746366729726441, 2022/04/15 13:05:09
P00015, 34.38089500460924, 108.89989446171946, 4.746366729726441, 2022/04/15 13:05:09
P00016, 34.380881788419074, 108.8998549121235, 4.746366729726441, 2022/04/15 13:05:10
P00017, 34.38086910404024, 108.89981513949328, 4.746366729726441, 2022/04/15 13:05:10
P00018, 34.380856419661406, 108.89977536686308, 4.746366729726441, 2022/04/15 13:05:11
P00019, 34.38084282101019, 108.89973513632013, 4.746366729726441, 2022/04/15 13:05:11
P00020, 34.38082922235897, 108.89969490577718, 4.746366729726441, 2022/04/15 13:05:11
P00021, 34.38081575890567, 108.8996544084657, 4.746366729726441, 2022/04/15 13:05:12
P00022, 34.380802355540325, 108.8996137925904, 4.746366729726441, 2022/04/15 13:05:12
P00023, 34.380789053227026, 108.8995725527598, 4.746366729726441, 2022/04/15 13:05:13
P00024, 34.38077591259702, 108.89953031460075, 4.746366729726441, 2022/04/15 13:05:13
P00025, 34.38076271492772, 108.89948791204834, 4.746366729726441, 2022/04/15 13:05:14
P00026, 34.38074990064396, 108.89944695025835, 4.746366729726441, 2022/04/15 13:05:14
P00027, 34.3807370863602, 108.89940598846837, 4.746366729726441, 2022/04/15 13:05:14
P00028, 34.380723304441425, 108.89936452465055, 4.746366729726441, 2022/04/15 13:05:15
P00029, 34.38070883135479, 108.8993227022414, 4.746366729726441, 2022/04/15 13:05:15
P00030, 34.380694394600305, 108.89928076458756, 4.746366729726441, 2022/04/15 13:05:16
P00031, 34.38068152725796, 108.89924115968732, 4.746366729726441, 2022/04/15 13:05:16
P00032, 34.38066865991563, 108.89920155478708, 4.746366729726441, 2022/04/15 13:05:16
P00033, 34.38065580800478, 108.89916226849358, 4.746366729726441, 2022/04/15 13:05:17
P00034, 34.380642983099065, 108.89912353976189, 4.746366729726441, 2022/04/15 13:05:17
P00035, 34.38063015819334, 108.89908481103018, 4.746366729726441, 2022/04/15 13:05:17
P00036, 34.38061711225525, 108.89904598297056, 4.746366729726441, 2022/04/15 13:05:18
P00037, 34.38060394001296, 108.89900709815217, 4.746366729726441, 2022/04/15 13:05:18
P00038, 34.38059076777067, 108.89896821333377, 4.746366729726441, 2022/04/15 13:05:18
P00039, 34.38057723178613, 108.89892709429357, 4.746366729726441, 2022/04/15 13:05:19
P00040, 34.38056377159561, 108.89888609350443, 4.746366729726441, 2022/04/15 13:05:19
P00041, 34.38055023084671, 108.89884529009139, 4.746366729726441, 2022/04/15 13:05:20
P00042, 34.38053657731606, 108.89880476300486, 4.746366729726441, 2022/04/15 13:05:20
P00043, 34.380522923785406, 108.89876423591834, 4.746366729726441, 2022/04/15 13:05:20
P00044, 34.380509128656726, 108.8987243819843, 4.746366729726441, 2022/04/15 13:05:21
P00045, 34.380495320655506, 108.89868458924595, 4.746366729726441, 2022/04/15 13:05:21
P00046, 34.38048167979825, 108.89864484628194, 4.746366729726441, 2022/04/15 13:05:22
P00047, 34.38046827294256, 108.898605173002, 4.746366729726441, 2022/04/15 13:05:22
P00048, 34.38045486608686, 108.89856549972207, 4.746366729726441, 2022/04/15 13:05:22
P00049, 34.38044074689278, 108.89852554919453, 4.746366729726441, 2022/04/15 13:05:23
P00050, 34.38042656294066, 108.89848557346268, 4.746366729726441, 2022/04/15 13:05:23
P00051, 34.380412530859275, 108.8984449567791, 4.746366729726441, 2022/04/15 13:05:24
P00052, 34.38039871139692, 108.89840344276314, 4.746366729726441, 2022/04/15 13:05:24
P00053, 34.38038489193457, 108.89836192874716, 4.746366729726441, 2022/04/15 13:05:24
P00054, 34.38037166046551, 108.8983205323829, 4.746366729726441, 2022/04/15 13:05:25
P00055, 34.38035848245038, 108.89827914671423, 4.746366729726441, 2022/04/15 13:05:25
P00056, 34.38034504076047, 108.89823715451666, 4.746366729726441, 2022/04/15 13:05:26
P00057, 34.38033238082873, 108.89819788329015, 4.746366729726441, 2022/04/15 13:05:26
P00058, 34.380319720897, 108.89815861206363, 4.746366729726441, 2022/04/15 13:05:26
P00059, 34.38030697826095, 108.89811955375524, 4.746366729726441, 2022/04/15 13:05:27
P00060, 34.380294204610784, 108.89808057529116, 4.746366729726441, 2022/04/15 13:05:27
P00061, 34.380281430960615, 108.89804159682708, 4.746366729726441, 2022/04/15 13:05:28
P00062, 34.380268555422916, 108.898002645497, 4.746366729726441, 2022/04/15 13:05:28
P00063, 34.38025567988521, 108.8979636941669, 4.746366729726441, 2022/04/15 13:05:28
P00064, 34.38024185259483, 108.89792165947651, 4.746366729726441, 2022/04/15 13:05:29
P00065, 34.38022846280594, 108.8978805401255, 4.746366729726441, 2022/04/15 13:05:29
P00066, 34.38021507301705, 108.89783942077449, 4.746366729726441, 2022/04/15 13:05:29
P00067, 34.380201139383644, 108.89779887101176, 4.746366729726441, 2022/04/15 13:05:30
P00068, 34.38018709698134, 108.89775843516671, 4.746366729726441, 2022/04/15 13:05:30
P00069, 34.38017319359792, 108.89771840278983, 4.746366729726441, 2022/04/15 13:05:31
P00070, 34.38015956825226, 108.89767917734939, 4.746366729726441, 2022/04/15 13:05:31
P00071, 34.38014594290661, 108.89763995190893, 4.746366729726441, 2022/04/15 13:05:31
P00072, 34.38013274706572, 108.89760116390839, 4.746366729726441, 2022/04/15 13:05:32
P00073, 34.3801196371258, 108.89756246339584, 4.746366729726441, 2022/04/15 13:05:32
P00074, 34.38010543379245, 108.89752071739792, 4.746366729726441, 2022/04/15 13:05:33
P00075, 34.38009122902163, 108.89747925869173, 4.746366729726441, 2022/04/15 13:05:33
P00076, 34.380077055585325, 108.89743781495523, 4.746366729726441, 2022/04/15 13:05:34
P00077, 34.38006325816325, 108.8973965508548, 4.746366729726441, 2022/04/15 13:05:34
P00078, 34.38004946074117, 108.89735528675436, 4.746366729726441, 2022/04/15 13:05:34
P00079, 34.380036864567295, 108.89731619457281, 4.746366729726441, 2022/04/15 13:05:35
